rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,Nation
9,9,-3,OLD,20165927,문라이트,2017-02-22,99963900,1.6,45444900,83.4,758412900,11608,5063,77.4,94565,175,336,2017-03-04,
10,10,-2,OLD,20166101,존 윅 - 리로드,2017-02-22,83014500,1.3,34248000,70.2,1950238100,9410,3817,68.2,240150,178,385,2017-03-04,
1,1,0,OLD,20150971,해빙,2017-03-01,1626236917,66.2,855731569,111.1,6298585365,191841,100564,110.2,759624,915,4396,2017-03-04,K
2,2,0,OLD,20166421,재심,2017-02-15,482742100,19.7,278227000,136,17647100637,57437,32458,129.9,2215684,535,1509,2017-03-04,K
3,3,0,OLD,20158799,눈길,2017-03-01,125814300,5.1,62742200,99.5,570801600,16090,7933,97.3,74332,450,920,2017-03-04,K
4,4,0,OLD,20150964,조작된 도시,2017-02-09,104955000,4.3,61184200,139.8,19879743987,12629,7336,138.6,2480488,259,438,2017-03-04,K
5,5,0,OLD,20161723,싱글라이더,2017-02-22,47812100,1.9,11730500,32.5,2551746221,5727,1415,32.8,333779,211,291,2017-03-04,K
6,6,0,OLD,20150753,눈발,2017-03-01,23468000,1.0,15485600,194,93573300,2541,1638,181.4,10233,69,87,2017-03-04,K
7,7,0,NEW,20161366,"그래, 가족",2017-02-15,16154000,0.7,16154000,100,348461300,1828,1828,100,46363,5,8,2017-03-04,K
8,8,3,OLD,20168668,레이디버그,2017-02-22,10128500,0.4,8671000,594.9,292660000,1285,1109,630.1,38795,59,70,2017-03-04,K
9,9,0,OLD,20151228,공조,2017-01-18,9308700,0.4,5874100,171,63768036626,1073,660,159.8,7815678,31,46,2017-03-04,K
10,10,-3,OLD,20166422,커피 메이트,2017-03-01,5860500,0.2,423000,7.8,31942500,693,41,6.3,3879,90,135,2017-03-04,K
1,1,0,OLD,20161827,로건,2017-03-01,2396326817,62.7,1337359669,126.3,7251458765,269110,148235,122.6,836868,926,4029,2017-03-04,F
2,2,0,OLD,20170241,23 아이덴티티,2017-02-22,669656283,17.5,356814231,114.1,11843114935,77733,41509,114.6,1462174,539,1970,2017-03-04,F
3,3,4,OLD,20161744,트롤,2017-02-16,174559600,4.6,150649100,630.1,4574720400,22276,19318,653.1,619856,395,760,2017-03-04,F
4,4,2,OLD,20167904,라라랜드,2016-12-07,114154800,3.0,68227800,148.6,28023696328,13089,7810,147.9,3350542,165,253,2017-03-04,F
5,5,-2,OLD,20165927,문라이트,2017-02-22,99963900,2.6,45444900,83.4,758412900,11608,5063,77.4,94565,175,336,2017-03-04,F
6,6,-1,OLD,20166101,존 윅 - 리로드,2017-02-22,83014500,2.2,34248000,70.2,1950238100,9410,3817,68.2,240150,178,385,2017-03-04,F
7,7,-3,OLD,20166468,사일런스,2017-02-28,74083800,1.9,25307200,51.9,332563300,9276,3145,51.3,42520,316,493,2017-03-04,F
8,8,1,OLD,20170509,극장판 소드 아트 온라인 -오디널 스케일-,2017-02-23,54417500,1.4,39703000,269.8,641589000,7056,5307,303.4,83902,89,155,2017-03-04,F
9,9,-1,OLD,20167922,핵소 고지,2017-02-22,34483600,0.9,17848800,107.3,1220686600,4229,2178,106.2,160290,100,133,2017-03-04,F
10,10,4,OLD,20170381,매직키드 보보,2017-03-01,22616300,0.6,18350300,430.2,89378600,2967,2426,448.4,11764,202,251,2017-03-04,F
1,1,0,OLD,20161827,로건,2017-03-01,2153128400,39.6,-243198417,-10.1,9404587165,242997,-26113,-9.7,1079865,954,4047,2017-03-05,
2,2,0,OLD,20150971,해빙,2017-03-01,1277909300,23.5,-348327617,-21.4,7576494665,150264,-41577,-21.7,909888,896,4145,2017-03-05,
3,3,0,OLD,20170241,23 아이덴티티,2017-02-22,561934400,10.3,-107721883,-16.1,12405049335,65168,-12565,-16.2,1527342,525,1885,2017-03-05,
4,4,0,OLD,20166421,재심,2017-02-15,431965100,7.9,-50777000,-10.5,18079065737,51240,-6197,-10.8,2266924,534,1476,2017-03-05,
5,5,0,OLD,20161744,트롤,2017-02-16,180860800,3.3,6301200,3.6,4755581200,22796,520,2.3,642652,389,763,2017-03-05,
6,6,0,OLD,20158799,눈길,2017-03-01,123051900,2.3,-2762400,-2.2,693853500,15389,-701,-4.4,89721,436,885,2017-03-05,
7,7,1,OLD,20150964,조작된 도시,2017-02-09,99962400,1.8,-4992600,-4.8,19979706387,11901,-728,-5.8,2492389,251,431,2017-03-05,
