rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,Nation
7,7,3,OLD,20164926,분노,2017-03-30,7986500,0.9,-8646600,-52,88446237,1110,-892,-44.6,11022,92,130,2017-04-03,F
8,8,0,NEW,20143580,분노의 질주: 더 세븐,2015-04-01,12311000,1.4,12311000,100,26466409694,947,947,100,3248902,3,3,2017-04-03,F
9,9,2,OLD,20167904,라라랜드,2016-12-07,7008700,0.8,-7034600,-50.1,29113762633,934,-710,-43.2,3485392,50,63,2017-04-03,F
10,10,0,NEW,20168592,랜드 오브 마인,2017-04-06,4480000,0.5,4480000,100,10734500,560,560,100,1301,2,2,2017-04-03,F
1,1,0,OLD,20162181,프리즌,2017-03-23,387888000,26.9,-69844200,-15.3,18844166840,51701,-9018,-14.9,2327244,791,3402,2017-04-04,
2,2,0,OLD,20164721,미녀와 야수,2017-03-16,332139100,23.1,-43483600,-11.6,34446765476,44223,-5262,-10.6,4191079,791,3120,2017-04-04,
3,3,0,OLD,20163194,공각기동대 : 고스트 인 더 쉘,2017-03-29,233762300,16.2,-29116000,-11.1,5205533637,29398,-3928,-11.8,632425,732,3183,2017-04-04,
4,4,0,OLD,20151230,원라인,2017-03-29,159543600,11.1,-21598600,-11.9,2567107133,21754,-2847,-11.6,337386,551,1863,2017-04-04,
5,5,0,OLD,20167363,히든 피겨스,2017-03-23,70593200,4.9,-2457100,-3.4,2434787033,9688,-172,-1.7,307035,360,779,2017-04-04,
6,6,0,OLD,20171381,라이프,2017-04-05,57603300,4.0,15655100,37.3,110590200,7348,1928,35.6,14215,351,558,2017-04-04,
7,7,0,OLD,20167902,보통사람,2017-03-23,37550500,2.6,925800,2.5,2913519023,5329,114,2.2,377241,368,661,2017-04-04,
8,8,0,NEW,20167901,어느날,2017-04-05,18284000,1.3,18284000,100,36755000,2543,2543,100,5208,12,14,2017-04-04,
9,9,-1,OLD,20167364,미스 슬로운,2017-03-29,16126500,1.1,-1056000,-6.1,206786500,2182,-153,-6.6,26711,102,228,2017-04-04,
10,10,-1,OLD,20167005,데스노트: 더 뉴 월드,2017-03-29,11533300,0.8,-243700,-2.1,198721263,1543,-4,-0.3,25912,232,328,2017-04-04,
1,1,0,OLD,20162181,프리즌,2017-03-23,387888000,61.8,-69844200,-15.3,18844166840,51701,-9018,-14.9,2327244,791,3402,2017-04-04,K
2,2,0,OLD,20151230,원라인,2017-03-29,159543600,25.4,-21598600,-11.9,2567107133,21754,-2847,-11.6,337386,551,1863,2017-04-04,K
3,3,0,OLD,20167902,보통사람,2017-03-23,37550500,6.0,925800,2.5,2913519023,5329,114,2.2,377241,368,661,2017-04-04,K
4,4,0,NEW,20167901,어느날,2017-04-05,18284000,2.9,18284000,100,36755000,2543,2543,100,5208,12,14,2017-04-04,K
5,5,-1,OLD,20179442,밤의 해변에서 혼자,2017-03-23,9892500,1.6,-454000,-4.4,334915800,1398,-35,-2.4,43556,65,153,2017-04-04,K
